,Zone_Name,Crop_Year,Crop,Area,Production
2187,Butajira,2006,Rice,168963.0,845829.0
2208,Butajira,2007,Onion,1000.0,14000.0
2209,Butajira,2007,Rice,242000.0,715000.0
2218,Butajira,2007,Rice,169000.0,803000.0
2235,Butajira,2008,Onion,915.0,15376.0
2237,Butajira,2008,Rice,240231.0,716609.0
2248,Butajira,2008,Onion,16.0,154.0
2250,Butajira,2008,Rice,169861.0,796648.0
2275,Butajira,2009,Onion,501.0,8113.0
2277,Butajira,2009,Rice,202153.0,616567.0
2290,Butajira,2009,Onion,26.0,660.0
2292,Butajira,2009,Rice,104423.0,456537.0
2316,Butajira,2010,Onion,759.0,15073.0
2318,Butajira,2010,Rice,237640.0,457704.0
2329,Butajira,2010,Onion,9.0,118.0
2331,Butajira,2010,Rice,172888.0,849917.0
2353,Butajira,2011,Onion,808.0,11645.0
2356,Butajira,2011,Rice,197445.0,589741.0
2370,Butajira,2011,Onion,38.0,973.0
2372,Butajira,2011,Rice,139649.0,587084.0
2400,Butajira,2012,Onion,547.0,10443.0
2403,Butajira,2012,Rice,232300.0,355651.0
2411,Butajira,2012,Tomato,433.0,9453.0
2425,Butajira,2012,Onion,15.0,330.0
2426,Butajira,2012,Rice,168756.0,746239.0
2430,Butajira,2012,Tomato,666.0,6486.0
2450,Butajira,2013,Onion,595.0,11204.0
2454,Butajira,2013,Rice,235159.0,434104.0
2462,Butajira,2013,Tomato,400.0,7151.0
2477,Butajira,2013,Onion,14.0,259.0
2478,Butajira,2013,Rice,169523.0,777602.0
2483,Butajira,2013,Tomato,716.0,8094.0
2507,Butajira,2014,Onion,563.0,10337.0
2512,Butajira,2014,Rice,226072.0,681833.0
2519,Butajira,2014,Tomato,407.0,5851.0
2534,Butajira,2014,Onion,15.0,265.0
2536,Butajira,2014,Rice,168045.0,881396.0
2541,Butajira,2014,Tomato,628.0,8509.0
2544,Butajira,2014,Rice,394117.0,1563229.0
2554,Butajira,1997,Rice,295000.0,845300.0
2568,Butajira,1997,Rice,14500.0,51800.0
2581,Butajira,1998,Rice,298400.0,921400.0
2592,Butajira,1998,Rice,29100.0,99900.0
2606,Butajira,1999,Rice,302886.0,969414.0
2618,Butajira,1999,Rice,14822.0,53167.0
2622,Butajira,1999,Onion,1593.0,23110.0
2634,Butajira,2000,Onion,376.0,5247.0
2635,Butajira,2000,Rice,292899.0,987363.0
2647,Butajira,2000,Onion,816.0,14792.0
2650,Butajira,2000,Rice,12692.0,49600.0
2672,Butajira,2001,Onion,693.0,9615.0
2673,Butajira,2001,Rice,272468.0,935110.0
2684,Butajira,2001,Onion,883.0,11504.0
2687,Butajira,2001,Rice,44917.0,181060.0
2709,Butajira,2002,Onion,806.0,9635.0
2710,Butajira,2002,Rice,202953.0,646811.0
2724,Butajira,2002,Onion,737.0,13565.0
2728,Butajira,2002,Rice,2716.0,7385.0
2744,Butajira,2002,Orange,288.0,5124.0
2753,Butajira,2002,Tomato,1067.0,7291.0
2765,Butajira,2003,Onion,439.0,6404.0
2766,Butajira,2003,Rice,170487.0,482990.0
2779,Butajira,2003,Onion,428.0,3364.0
2782,Butajira,2003,Rice,5772.0,16837.0
2800,Butajira,2003,Orange,959.0,14549.0
2808,Butajira,2003,Tomato,1478.0,14161.0
2820,Butajira,2004,Onion,845.0,14336.0
2821,Butajira,2004,Rice,240404.0,833961.0
2834,Butajira,2004,Onion,394.0,5344.0
2837,Butajira,2004,Rice,21247.0,70922.0
2860,Butajira,2005,Onion,1327.0,24880.0
2861,Butajira,2005,Rice,288879.0,892636.0
2871,Butajira,2005,Onion,372.0,5986.0
2874,Butajira,2005,Rice,31434.0,111559.0
2892,Butajira,2006,Onion,598.0,10027.0
2893,Butajira,2006,Rice,288638.0,783941.0
2905,Butajira,2006,Onion,566.0,7493.0
2907,Butajira,2006,Rice,28933.0,100947.0
2924,Butajira,2007,Onion,1000.0,18000.0
2925,Butajira,2007,Rice,283000.0,976000.0
2934,Butajira,2007,Rice,24000.0,85000.0
2946,Butajira,2008,Onion,639.0,10738.0
2947,Butajira,2008,Rice,281491.0,959321.0
2957,Butajira,2008,Onion,84.0,1682.0
2959,Butajira,2008,Rice,51358.0,187662.0
2979,Butajira,2009,Onion,723.0,11708.0
2980,Butajira,2009,Rice,190526.0,683226.0
2991,Butajira,2009,Onion,40.0,1068.0
2993,Butajira,2009,Rice,112342.0,383423.0
3016,Butajira,2010,Onion,619.0,12293.0
3017,Butajira,2010,Rice,271072.0,649760.0
3030,Butajira,2010,Onion,268.0,1323.0
3032,Butajira,2010,Rice,58393.0,201806.0
3035,Butajira,2010,Wheat,43.0,56.0
3052,Butajira,2011,Onion,959.0,13821.0
3054,Butajira,2011,Rice,281790.0,1080921.0
3068,Butajira,2011,Rice,11012.0,39060.0
3093,Butajira,2012,Onion,679.0,12963.0
3095,Butajira,2012,Rice,174699.0,607778.0
3101,Butajira,2012,Tomato,783.0,27537.0
3117,Butajira,2012,Onion,11.0,101.0
3120,Butajira,2012,Rice,8362.0,29903.0
3125,Butajira,2012,Tomato,788.0,7674.0
3143,Butajira,2013,Onion,630.0,11864.0
3147,Butajira,2013,Rice,280060.0,912716.0
3153,Butajira,2013,Tomato,688.0,18292.0
3166,Butajira,2013,Onion,19.0,352.0
3169,Butajira,2013,Rice,48107.0,183288.0
3174,Butajira,2013,Tomato,682.0,7710.0
3196,Butajira,2014,Onion,408.0,7491.0
3199,Butajira,2014,Rice,255607.0,1000190.0
3204,Butajira,2014,Tomato,462.0,6642.0
3219,Butajira,2014,Onion,40.0,707.0
3222,Butajira,2014,Rice,29695.0,111742.0
3228,Butajira,2014,Tomato,524.0,7100.0
3231,Butajira,2014,Rice,285302.0,1111932.0
3244,Butajira,1997,Rice,47700.0,77500.0
3255,Butajira,1997,Rice,13000.0,27700.0
3271,Butajira,1998,Rice,59200.0,169800.0
3281,Butajira,1998,Rice,17000.0,41600.0
3298,Butajira,1999,Rice,54783.0,134484.0
3312,Butajira,1999,Rice,6828.0,12921.0
3315,Butajira,1999,Wheat,163.0,109.0
3317,Butajira,1999,Onion,4618.0,41792.0
3331,Butajira,2000,Onion,2502.0,27610.0
3335,Butajira,2000,Rice,60412.0,170120.0
3351,Butajira,2000,Onion,483.0,13965.0
3353,Butajira,2000,Rice,7426.0,6134.0
3359,Butajira,2000,Wheat,117.0,67.0
3380,Butajira,2001,Onion,2317.0,15902.0
3383,Butajira,2001,Rice,38218.0,96883.0
3399,Butajira,2001,Onion,637.0,9701.0
3402,Butajira,2001,Rice,37550.0,98231.0
3407,Butajira,2001,Wheat,39.0,27.0
3427,Butajira,2002,Onion,1828.0,17722.0
3429,Butajira,2002,Rice,27457.0,56424.0
3443,Butajira,2002,Onion,561.0,7735.0
3445,Butajira,2002,Rice,9203.0,16446.0
3450,Butajira,2002,Wheat,30.0,28.0
3462,Butajira,2002,Orange,3178.0,25978.0
3470,Butajira,2002,Tomato,2443.0,26194.0
3483,Butajira,2003,Onion,2138.0,17805.0
3485,Butajira,2003,Rice,23356.0,60025.0
3498,Butajira,2003,Onion,524.0,8765.0
3501,Butajira,2003,Rice,10767.0,24032.0
3505,Butajira,2003,Wheat,39.0,12.0
3516,Butajira,2003,Orange,3378.0,56464.0
3524,Butajira,2003,Tomato,3181.0,39828.0
3536,Butajira,2004,Onion,1851.0,17286.0
3539,Butajira,2004,Rice,46932.0,149619.0
3552,Butajira,2004,Onion,574.0,13588.0
3555,Butajira,2004,Rice,5689.0,11424.0
3580,Butajira,2005,Onion,1775.0,9003.0
3583,Butajira,2005,Rice,45556.0,85828.0
3595,Butajira,2005,Onion,653.0,15745.0
3598,Butajira,2005,Rice,21197.0,55791.0
3602,Butajira,2005,Wheat,81.0,48.0
3622,Butajira,2006,Onion,1676.0,17534.0
3625,Butajira,2006,Rice,41908.0,114493.0
3637,Butajira,2006,Onion,338.0,10591.0
3640,Butajira,2006,Rice,4997.0,10963.0
3644,Butajira,2006,Wheat,32.0,8.0
3661,Butajira,2007,Onion,2000.0,8000.0
3662,Butajira,2007,Rice,45000.0,139000.0
3669,Butajira,2007,Rice,17000.0,45000.0
3683,Butajira,2008,Onion,2505.0,25541.0
3686,Butajira,2008,Rice,50183.0,87168.0
3700,Butajira,2008,Onion,223.0,4000.0
3702,Butajira,2008,Rice,14883.0,41271.0
3706,Butajira,2008,Wheat,122.0,83.0
3726,Butajira,2009,Onion,2875.0,24386.0
3729,Butajira,2009,Rice,52423.0,153757.0
3743,Butajira,2009,Onion,273.0,7337.0
3746,Butajira,2009,Rice,12894.0,34169.0
3750,Butajira,2009,Wheat,61.0,79.0
3770,Butajira,2010,Onion,2542.0,19248.0
3773,Butajira,2010,Rice,53345.0,80657.0
3788,Butajira,2010,Onion,635.0,14029.0
3791,Butajira,2010,Rice,17037.0,48896.0
3796,Butajira,2010,Wheat,20.0,26.0
3818,Butajira,2011,Onion,4380.0,57588.0
3821,Butajira,2011,Rice,47290.0,141161.0
3837,Butajira,2011,Onion,1034.0,3154.0
3840,Butajira,2011,Rice,6606.0,17499.0
3844,Butajira,2011,Wheat,17.0,22.0
3871,Butajira,2012,Onion,2567.0,46760.0
3876,Butajira,2012,Rice,24147.0,61551.0
3883,Butajira,2012,Tomato,3504.0,52945.0
3902,Butajira,2012,Onion,834.0,4876.0
3908,Butajira,2012,Rice,6601.0,19249.0
3916,Butajira,2012,Tomato,2039.0,48814.0
3919,Butajira,2012,Wheat,2.0,2.0
3938,Butajira,2013,Onion,2497.0,24361.0
3944,Butajira,2013,Rice,51753.0,148842.0
3953,Butajira,2013,Tomato,2638.0,132441.0
3970,Butajira,2013,Onion,926.0,9674.0
3973,Butajira,2013,Rice,10959.0,29447.0
3979,Butajira,2013,Tomato,2803.0,68522.0
3982,Butajira,2013,Wheat,12.0,8.0
3990,Butajira,2013,Wheat,12.0,8.0
4008,Butajira,2014,Onion,2983.0,37144.0
4014,Butajira,2014,Rice,42124.0,155648.0
4021,Butajira,2014,Tomato,2881.0,75102.0
4038,Butajira,2014,Onion,381.0,6556.0
4043,Butajira,2014,Rice,3761.0,10189.0
4051,Butajira,2014,Tomato,2027.0,64448.0
4053,Butajira,2014,Wheat,274.0,195.0
4055,Butajira,2014,Rice,45885.0,165837.0
4064,Butajira,1997,Rice,257900.0,699400.0
4076,Butajira,1997,Rice,116300.0,393500.0
4085,Butajira,1998,Rice,280800.0,759900.0
4097,Butajira,1998,Rice,134500.0,491200.0
4107,Butajira,1999,Rice,278415.0,834490.0
4118,Butajira,1999,Rice,127888.0,457596.0
4123,Butajira,1999,Onion,105.0,1735.0
4135,Butajira,2000,Onion,11.0,154.0
4136,Butajira,2000,Rice,281343.0,868787.0
4148,Butajira,2000,Onion,51.0,897.0
4151,Butajira,2000,Rice,112917.0,408308.0
4171,Butajira,2001,Onion,10.0,139.0
4173,Butajira,2001,Rice,245114.0,714507.0
4185,Butajira,2001,Onion,59.0,933.0
4188,Butajira,2001,Rice,98472.0,358635.0
4210,Butajira,2002,Onion,16.0,203.0
4211,Butajira,2002,Rice,243910.0,761243.0
4223,Butajira,2002,Onion,107.0,1347.0
4226,Butajira,2002,Rice,2185.0,5688.0
4243,Butajira,2002,Orange,47.0,841.0
4253,Butajira,2002,Tomato,1322.0,9348.0
4266,Butajira,2003,Onion,7.0,102.0
4267,Butajira,2003,Rice,222367.0,526565.0
4278,Butajira,2003,Onion,85.0,935.0
4281,Butajira,2003,Rice,7486.0,19359.0
4298,Butajira,2003,Orange,49.0,743.0
4306,Butajira,2003,Tomato,1650.0,16110.0
4315,Butajira,2004,Onion,8.0,136.0
4316,Butajira,2004,Rice,245306.0,804849.0
4329,Butajira,2004,Onion,91.0,1594.0
4332,Butajira,2004,Rice,10017.0,31584.0
4352,Butajira,2005,Onion,61.0,1144.0
4353,Butajira,2005,Rice,254919.0,697203.0
4364,Butajira,2005,Onion,101.0,1999.0
4367,Butajira,2005,Rice,104332.0,409399.0
4386,Butajira,2006,Onion,52.0,872.0
4387,Butajira,2006,Rice,251433.0,521221.0
4397,Butajira,2006,Onion,75.0,895.0
4399,Butajira,2006,Rice,94862.0,355638.0
4417,Butajira,2007,Rice,261000.0,944000.0
4424,Butajira,2007,Rice,94000.0,355000.0
4435,Butajira,2008,Onion,31.0,521.0
4436,Butajira,2008,Rice,273878.0,959395.0
4447,Butajira,2008,Onion,60.0,578.0
4449,Butajira,2008,Rice,120655.0,467900.0
4468,Butajira,2009,Onion,7.0,113.0
4469,Butajira,2009,Rice,228196.0,784310.0
4480,Butajira,2009,Onion,52.0,1320.0
4481,Butajira,2009,Rice,108442.0,424984.0
4499,Butajira,2010,Onion,2.0,40.0
4500,Butajira,2010,Rice,260350.0,722978.0
4512,Butajira,2010,Onion,16.0,209.0
4514,Butajira,2010,Rice,94991.0,367710.0
4533,Butajira,2011,Onion,7.0,101.0
4535,Butajira,2011,Rice,262826.0,980105.0
4546,Butajira,2011,Onion,25.0,640.0
4548,Butajira,2011,Rice,9203.0,31437.0
4572,Butajira,2012,Onion,2.0,38.0
4574,Butajira,2012,Rice,253166.0,908360.0
4578,Butajira,2012,Tomato,549.0,11985.0
4592,Butajira,2012,Onion,2.0,44.0
4594,Butajira,2012,Rice,11365.0,42244.0
4599,Butajira,2012,Tomato,880.0,8569.0
4617,Butajira,2013,Rice,264371.0,773285.0
4621,Butajira,2013,Tomato,545.0,9744.0
4634,Butajira,2013,Onion,2.0,37.0
4636,Butajira,2013,Rice,98951.0,402236.0
4641,Butajira,2013,Tomato,587.0,6636.0
4664,Butajira,2014,Rice,235212.0,788901.0
4668,Butajira,2014,Tomato,439.0,6312.0
4681,Butajira,2014,Onion,13.0,230.0
4683,Butajira,2014,Rice,52830.0,209894.0
4688,Butajira,2014,Tomato,538.0,7289.0
4691,Butajira,2014,Rice,288042.0,998795.0
4702,Butajira,1997,Rice,66300.0,176900.0
4715,Butajira,1997,Rice,9000.0,23900.0
4718,Butajira,1997,Wheat,600.0,300.0
4730,Butajira,1998,Rice,75100.0,221700.0
4744,Butajira,1998,Rice,20900.0,44500.0
4748,Butajira,1998,Wheat,700.0,400.0
4761,Butajira,1999,Rice,81640.0,225431.0
4774,Butajira,1999,Rice,12430.0,35695.0
4778,Butajira,1999,Wheat,789.0,529.0
4780,Butajira,1999,Onion,10678.0,156507.0
4795,Butajira,2000,Onion,8564.0,126747.0
4799,Butajira,2000,Rice,93188.0,307427.0
4816,Butajira,2000,Onion,1098.0,23828.0
4820,Butajira,2000,Rice,13909.0,38083.0
4825,Butajira,2000,Wheat,850.0,484.0
4846,Butajira,2001,Onion,9130.0,139853.0
4849,Butajira,2001,Rice,43617.0,121779.0
4865,Butajira,2001,Onion,1474.0,37322.0
4868,Butajira,2001,Rice,38162.0,98534.0
4873,Butajira,2001,Wheat,1264.0,876.0
4893,Butajira,2002,Onion,8365.0,104964.0
4895,Butajira,2002,Rice,47948.0,100499.0
4910,Butajira,2002,Onion,1290.0,25465.0
4912,Butajira,2002,Rice,10974.0,24856.0
4917,Butajira,2002,Wheat,941.0,867.0
4929,Butajira,2002,Orange,769.0,6280.0
4938,Butajira,2002,Tomato,21469.0,142009.0
4951,Butajira,2003,Onion,9665.0,153461.0
4954,Butajira,2003,Rice,34618.0,100635.0
4969,Butajira,2003,Onion,1184.0,26927.0
4973,Butajira,2003,Rice,4966.0,11377.0
4978,Butajira,2003,Wheat,694.0,206.0
4991,Butajira,2003,Orange,910.0,15208.0
4999,Butajira,2003,Tomato,19358.0,293269.0
5010,Butajira,2004,Onion,13121.0,234367.0
5013,Butajira,2004,Rice,61465.0,210702.0
5028,Butajira,2004,Onion,953.0,17928.0
5031,Butajira,2004,Rice,12058.0,37549.0
5037,Butajira,2004,Wheat,393.0,88.0
5056,Butajira,2005,Onion,12216.0,254752.0
5059,Butajira,2005,Rice,88555.0,292586.0
5073,Butajira,2005,Onion,2559.0,60664.0
5077,Butajira,2005,Rice,20079.0,65980.0
5082,Butajira,2005,Wheat,711.0,418.0
5101,Butajira,2006,Onion,11174.0,203065.0
5104,Butajira,2006,Rice,80692.0,270238.0
5118,Butajira,2006,Onion,1321.0,29893.0
5121,Butajira,2006,Rice,12475.0,36764.0
5126,Butajira,2006,Wheat,670.0,176.0
5145,Butajira,2007,Onion,14000.0,248000.0
5146,Butajira,2007,Rice,90000.0,332000.0
5156,Butajira,2007,Onion,2000.0,37000.0
5157,Butajira,2007,Rice,19000.0,51000.0
5172,Butajira,2008,Onion,16549.0,294241.0
5173,Butajira,2008,Rice,84066.0,279856.0
5187,Butajira,2008,Onion,1674.0,41274.0
5189,Butajira,2008,Rice,27383.0,97073.0
5194,Butajira,2008,Wheat,747.0,405.0
5213,Butajira,2009,Onion,13868.0,243855.0
