Zone_Name,Crop,Area,Production
Butajira,Rice,34973,102007
Butajira,Onion,306,8233
Butajira,Rice,24828,69394
Butajira,Wheat,131,171
Butajira,Onion,2757,39563
Butajira,Rice,37720,94531
Butajira,Onion,208,4259
Butajira,Rice,10948,25542
Butajira,Wheat,75,100
Butajira,Onion,1548,25393
Butajira,Rice,22056,58691
Butajira,Tomato,2552,38561
Butajira,Onion,84,1195
Butajira,Rice,6998,17768
Butajira,Tomato,1395,31096
Butajira,Wheat,134,151
Butajira,Onion,1414,31097
Butajira,Rice,28114,59377
Butajira,Tomato,2991,88620
Butajira,Onion,611,14317
Butajira,Rice,12283,28558
Butajira,Tomato,3482,80532
Butajira,Wheat,62,39
Butajira,Wheat,62,39
Butajira,Onion,1969,35214
Butajira,Rice,22658,68155
Butajira,Tomato,3976,113236
Butajira,Onion,297,6767
Butajira,Rice,6553,14377
Butajira,Tomato,4191,87055
Butajira,Rice,29211,82532
Butajira,Rice,42300,84400
Butajira,Rice,57400,137400
Butajira,Rice,42000,105400
Butajira,Rice,62400,159200
Butajira,Rice,37542,75477
Butajira,Rice,37489,76800
Butajira,Onion,548,8149
Butajira,Onion,286,3991
Butajira,Rice,33776,89236
Butajira,Onion,230,5494
Butajira,Rice,41442,97181
Butajira,Wheat,5,3
Butajira,Onion,248,3441
Butajira,Rice,24377,55311
Butajira,Onion,304,6772
Butajira,Rice,62049,170573
Butajira,Onion,205,2451
Butajira,Rice,20137,50020
Butajira,Onion,266,4753
Butajira,Rice,30034,76827
Butajira,Wheat,5,7
Butajira,Orange,4,39
Butajira,Tomato,16838,139087
Butajira,Onion,253,3691
Butajira,Rice,18495,38562
Butajira,Onion,265,5538
Butajira,Rice,27286,46714
Butajira,Wheat,7,2
Butajira,Orange,6,96
Butajira,Tomato,19636,180151
Butajira,Onion,250,4242
Butajira,Rice,19055,43331
Butajira,Onion,351,7244
Butajira,Rice,25822,69177
Butajira,Onion,254,4762
Butajira,Rice,16240,37173
Butajira,Onion,253,6018
Butajira,Rice,66351,193612
Butajira,Onion,206,3454
Butajira,Rice,17049,42520
Butajira,Onion,189,4612
Butajira,Rice,29164,85101
Butajira,Wheat,4,1
Butajira,Rice,15000,42000
Butajira,Rice,37000,116000
Butajira,Onion,289,4856
Butajira,Rice,17596,46242
Butajira,Onion,171,4081
Butajira,Rice,37927,118636
Butajira,Onion,197,3190
Butajira,Rice,19758,56192
Butajira,Onion,163,4015
Butajira,Rice,35155,113937
Butajira,Onion,178,3535
Butajira,Rice,18019,53639
Butajira,Onion,196,5274
Butajira,Rice,43558,131502
Butajira,Onion,180,2594
Butajira,Rice,17342,55719
Butajira,Onion,196,4013
Butajira,Rice,33764,113211
Butajira,Onion,153,2921
Butajira,Rice,12952,45241
Butajira,Tomato,8521,143886
Butajira,Onion,193,2745
Butajira,Rice,34557,126168
Butajira,Tomato,4908,106037
Butajira,Onion,170,3201
Butajira,Rice,15206,48766
Butajira,Tomato,8397,232496
Butajira,Onion,253,5928
Butajira,Rice,34654,120249
Butajira,Tomato,5199,116546
Butajira,Onion,242,4443
Butajira,Rice,13304,44462
Butajira,Tomato,8139,192268
Butajira,Onion,199,4534
Butajira,Rice,27661,87962
Butajira,Tomato,4998,126185
Butajira,Rice,40965,132424
Butajira,Rice,214100,429300
Butajira,Rice,154400,491500
Butajira,Rice,256300,386600
Butajira,Rice,157600,656600
Butajira,Rice,244655,628606
Butajira,Rice,161551,645162
Butajira,Onion,252,4118
Butajira,Onion,42,586
Butajira,Rice,253966,683423
Butajira,Onion,133,2338
Butajira,Rice,162861,683202
Butajira,Onion,122,1693
Butajira,Rice,220811,579850
Butajira,Onion,147,2325
Butajira,Rice,165779,750150
Butajira,Onion,132,1578
Butajira,Rice,194809,551115
Butajira,Onion,140,1763
Butajira,Rice,106427,491906
Butajira,Orange,975,17315
Butajira,Tomato,681,4557
Butajira,Onion,279,4070
Butajira,Rice,234673,762453
Butajira,Onion,24,264
Butajira,Rice,165321,869092
Butajira,Orange,1015,15401
Butajira,Tomato,738,7088
Butajira,Onion,129,2189
Butajira,Rice,224521,743614
Butajira,Onion,79,1384
Butajira,Rice,162903,766296
Butajira,Onion,296,5550
Butajira,Rice,217411,348727
Butajira,Onion,74,1465
Butajira,Rice,170012,800927
Butajira,Onion,457,7663
Butajira,Rice,227930,547716
Butajira,Onion,85,1014
Butajira,Rice,168963,845829
Butajira,Onion,1000,14000
Butajira,Rice,242000,715000
Butajira,Rice,169000,803000
Butajira,Onion,915,15376
Butajira,Rice,240231,716609
Butajira,Onion,16,154
Butajira,Rice,169861,796648
Butajira,Onion,501,8113
Butajira,Rice,202153,616567
Butajira,Onion,26,660
Butajira,Rice,104423,456537
Butajira,Onion,759,15073
Butajira,Rice,237640,457704
Butajira,Onion,9,118
Butajira,Rice,172888,849917
Butajira,Onion,808,11645
Butajira,Rice,197445,589741
Butajira,Onion,38,973
Butajira,Rice,139649,587084
Butajira,Onion,547,10443
Butajira,Rice,232300,355651
Butajira,Tomato,433,9453
Butajira,Onion,15,330
Butajira,Rice,168756,746239
Butajira,Tomato,666,6486
Butajira,Onion,595,11204
Butajira,Rice,235159,434104
Butajira,Tomato,400,7151
Butajira,Onion,14,259
Butajira,Rice,169523,777602
Butajira,Tomato,716,8094
Butajira,Onion,563,10337
Butajira,Rice,226072,681833
Butajira,Tomato,407,5851
Butajira,Onion,15,265
Butajira,Rice,168045,881396
Butajira,Tomato,628,8509
Butajira,Rice,394117,1563229
Butajira,Rice,295000,845300
Butajira,Rice,14500,51800
Butajira,Rice,298400,921400
Butajira,Rice,29100,99900
Butajira,Rice,302886,969414
Butajira,Rice,14822,53167
Butajira,Onion,1593,23110
Butajira,Onion,376,5247
Butajira,Rice,292899,987363
Butajira,Onion,816,14792
Butajira,Rice,12692,49600
Butajira,Onion,693,9615
Butajira,Rice,272468,935110
Butajira,Onion,883,11504
Butajira,Rice,44917,181060
Butajira,Onion,806,9635
Butajira,Rice,202953,646811
Butajira,Onion,737,13565
Butajira,Rice,2716,7385
Butajira,Orange,288,5124
Butajira,Tomato,1067,7291
Butajira,Onion,439,6404
Butajira,Rice,170487,482990
Butajira,Onion,428,3364
Butajira,Rice,5772,16837
Butajira,Orange,959,14549
Butajira,Tomato,1478,14161
Butajira,Onion,845,14336
Butajira,Rice,240404,833961
Butajira,Onion,394,5344
Butajira,Rice,21247,70922
Butajira,Onion,1327,24880
Butajira,Rice,288879,892636
Butajira,Onion,372,5986
Butajira,Rice,31434,111559
Butajira,Onion,598,10027
Butajira,Rice,288638,783941
Butajira,Onion,566,7493
Butajira,Rice,28933,100947
Butajira,Onion,1000,18000
Butajira,Rice,283000,976000
Butajira,Rice,24000,85000
Butajira,Onion,639,10738
Butajira,Rice,281491,959321
Butajira,Onion,84,1682
Butajira,Rice,51358,187662
Butajira,Onion,723,11708
Butajira,Rice,190526,683226
Butajira,Onion,40,1068
Butajira,Rice,112342,383423
Butajira,Onion,619,12293
Butajira,Rice,271072,649760
Butajira,Onion,268,1323
Butajira,Rice,58393,201806
Butajira,Wheat,43,56
Butajira,Onion,959,13821
Butajira,Rice,281790,1080921
Butajira,Rice,11012,39060
Butajira,Onion,679,12963
Butajira,Rice,174699,607778
Butajira,Tomato,783,27537
Butajira,Onion,11,101
Butajira,Rice,8362,29903
Butajira,Tomato,788,7674
Butajira,Onion,630,11864
Butajira,Rice,280060,912716
Butajira,Tomato,688,18292
Butajira,Onion,19,352
Butajira,Rice,48107,183288
Butajira,Tomato,682,7710
Butajira,Onion,408,7491
Butajira,Rice,255607,1000190
Butajira,Tomato,462,6642
Butajira,Onion,40,707
Butajira,Rice,29695,111742
Butajira,Tomato,524,7100
Butajira,Rice,285302,1111932
Butajira,Rice,47700,77500
Butajira,Rice,13000,27700
Butajira,Rice,59200,169800
Butajira,Rice,17000,41600
Butajira,Rice,54783,134484
Butajira,Rice,6828,12921
Butajira,Wheat,163,109
Butajira,Onion,4618,41792
Butajira,Onion,2502,27610
Butajira,Rice,60412,170120
Butajira,Onion,483,13965
Butajira,Rice,7426,6134
Butajira,Wheat,117,67
Butajira,Onion,2317,15902
Butajira,Rice,38218,96883
Butajira,Onion,637,9701
Butajira,Rice,37550,98231
Butajira,Wheat,39,27
Butajira,Onion,1828,17722
Butajira,Rice,27457,56424
Butajira,Onion,561,7735
Butajira,Rice,9203,16446
Butajira,Wheat,30,28
Butajira,Orange,3178,25978
Butajira,Tomato,2443,26194
Butajira,Onion,2138,17805
Butajira,Rice,23356,60025
Butajira,Onion,524,8765
Butajira,Rice,10767,24032
Butajira,Wheat,39,12
Butajira,Orange,3378,56464
Butajira,Tomato,3181,39828
Butajira,Onion,1851,17286
Butajira,Rice,46932,149619
Butajira,Onion,574,13588
Butajira,Rice,5689,11424
Butajira,Onion,1775,9003
Butajira,Rice,45556,85828
Butajira,Onion,653,15745
Butajira,Rice,21197,55791
Butajira,Wheat,81,48
Butajira,Onion,1676,17534
Butajira,Rice,41908,114493
Butajira,Onion,338,10591
Butajira,Rice,4997,10963
Butajira,Wheat,32,8
Butajira,Onion,2000,8000
Butajira,Rice,45000,139000
Butajira,Rice,17000,45000
Butajira,Onion,2505,25541
Butajira,Rice,50183,87168
Butajira,Onion,223,4000
Butajira,Rice,14883,41271
Butajira,Wheat,122,83
Butajira,Onion,2875,24386
Butajira,Rice,52423,153757
Butajira,Onion,273,7337
Butajira,Rice,12894,34169
Butajira,Wheat,61,79
Butajira,Onion,2542,19248
Butajira,Rice,53345,80657
Butajira,Onion,635,14029
Butajira,Rice,17037,48896
Butajira,Wheat,20,26
Butajira,Onion,4380,57588
Butajira,Rice,47290,141161
Butajira,Onion,1034,3154
Butajira,Rice,6606,17499
Butajira,Wheat,17,22
Butajira,Onion,2567,46760
Butajira,Rice,24147,61551
Butajira,Tomato,3504,52945
Butajira,Onion,834,4876
Butajira,Rice,6601,19249
Butajira,Tomato,2039,48814
Butajira,Wheat,2,2
Butajira,Onion,2497,24361
Butajira,Rice,51753,148842
Butajira,Tomato,2638,132441
Butajira,Onion,926,9674
Butajira,Rice,10959,29447
Butajira,Tomato,2803,68522
Butajira,Wheat,12,8
Butajira,Wheat,12,8
Butajira,Onion,2983,37144
Butajira,Rice,42124,155648
Butajira,Tomato,2881,75102
Butajira,Onion,381,6556
Butajira,Rice,3761,10189
Butajira,Tomato,2027,64448
Butajira,Wheat,274,195
Butajira,Rice,45885,165837
Butajira,Rice,257900,699400
Butajira,Rice,116300,393500
Butajira,Rice,280800,759900
Butajira,Rice,134500,491200
Butajira,Rice,278415,834490
Butajira,Rice,127888,457596
Butajira,Onion,105,1735
Butajira,Onion,11,154
Butajira,Rice,281343,868787
Butajira,Onion,51,897
Butajira,Rice,112917,408308
Butajira,Onion,10,139
Butajira,Rice,245114,714507
Butajira,Onion,59,933
Butajira,Rice,98472,358635
Butajira,Onion,16,203
Butajira,Rice,243910,761243
Butajira,Onion,107,1347
Butajira,Rice,2185,5688
Butajira,Orange,47,841
Butajira,Tomato,1322,9348
Butajira,Onion,7,102
Butajira,Rice,222367,526565
Butajira,Onion,85,935
Butajira,Rice,7486,19359
Butajira,Orange,49,743
Butajira,Tomato,1650,16110
Butajira,Onion,8,136
Butajira,Rice,245306,804849
Butajira,Onion,91,1594
Butajira,Rice,10017,31584
Butajira,Onion,61,1144
Butajira,Rice,254919,697203
Butajira,Onion,101,1999
Butajira,Rice,104332,409399
Butajira,Onion,52,872
Butajira,Rice,251433,521221
Butajira,Onion,75,895
Butajira,Rice,94862,355638
Butajira,Rice,261000,944000
Butajira,Rice,94000,355000
Butajira,Onion,31,521
Butajira,Rice,273878,959395
Butajira,Onion,60,578
Butajira,Rice,120655,467900
Butajira,Onion,7,113
Butajira,Rice,228196,784310
Butajira,Onion,52,1320
Butajira,Rice,108442,424984
Butajira,Onion,2,40
Butajira,Rice,260350,722978
Butajira,Onion,16,209
Butajira,Rice,94991,367710
Butajira,Onion,7,101
Butajira,Rice,262826,980105
Butajira,Onion,25,640
Butajira,Rice,9203,31437
Butajira,Onion,2,38
Butajira,Rice,253166,908360
Butajira,Tomato,549,11985
Butajira,Onion,2,44
Butajira,Rice,11365,42244
Butajira,Tomato,880,8569
Butajira,Rice,264371,773285
Butajira,Tomato,545,9744
Butajira,Onion,2,37
Butajira,Rice,98951,402236
Butajira,Tomato,587,6636
Butajira,Rice,235212,788901
Butajira,Tomato,439,6312
Butajira,Onion,13,230
Butajira,Rice,52830,209894
Butajira,Tomato,538,7289
Butajira,Rice,288042,998795
Butajira,Rice,66300,176900
Butajira,Rice,9000,23900
Butajira,Wheat,600,300
Butajira,Rice,75100,221700
Butajira,Rice,20900,44500
Butajira,Wheat,700,400
Butajira,Rice,81640,225431
Butajira,Rice,12430,35695
Butajira,Wheat,789,529
Butajira,Onion,10678,156507
Butajira,Onion,8564,126747
Butajira,Rice,93188,307427
Butajira,Onion,1098,23828
Butajira,Rice,13909,38083
Butajira,Wheat,850,484
Butajira,Onion,9130,139853
Butajira,Rice,43617,121779
Butajira,Onion,1474,37322
Butajira,Rice,38162,98534
Butajira,Wheat,1264,876
Butajira,Onion,8365,104964
Butajira,Rice,47948,100499
Butajira,Onion,1290,25465
Butajira,Rice,10974,24856
Butajira,Wheat,941,867
Butajira,Orange,769,6280
Butajira,Tomato,21469,142009
Butajira,Onion,9665,153461
Butajira,Rice,34618,100635
Butajira,Onion,1184,26927
Butajira,Rice,4966,11377
Butajira,Wheat,694,206
Butajira,Orange,910,15208
Butajira,Tomato,19358,293269
Butajira,Onion,13121,234367
Butajira,Rice,61465,210702
Butajira,Onion,953,17928
Butajira,Rice,12058,37549
Butajira,Wheat,393,88
Butajira,Onion,12216,254752
Butajira,Rice,88555,292586
Butajira,Onion,2559,60664
Butajira,Rice,20079,65980
Butajira,Wheat,711,418
Butajira,Onion,11174,203065
Butajira,Rice,80692,270238
Butajira,Onion,1321,29893
Butajira,Rice,12475,36764
Butajira,Wheat,670,176
Butajira,Onion,14000,248000
Butajira,Rice,90000,332000
Butajira,Onion,2000,37000
Butajira,Rice,19000,51000
Butajira,Onion,16549,294241
Butajira,Rice,84066,279856
Butajira,Onion,1674,41274
Butajira,Rice,27383,97073
Butajira,Wheat,747,405
Butajira,Onion,13868,243855
Butajira,Rice,81908,256454
Butajira,Onion,1454,35200
Butajira,Rice,44772,157911
Butajira,Wheat,550,251
Butajira,Onion,16300,360197
Butajira,Rice,104110,291475
Butajira,Onion,3014,84151
Butajira,Rice,32967,105626
Butajira,Wheat,563,808
Butajira,Onion,24460,358241
Butajira,Rice,91984,333882
Butajira,Onion,2449,68156
Butajira,Rice,14738,46042
Butajira,Wheat,221,243
Butajira,Onion,14931,291483
Butajira,Rice,72625,276774
Butajira,Tomato,4314,50051
Butajira,Onion,1629,30156
Butajira,Rice,16840,60102
Butajira,Tomato,617,13754
Butajira,Wheat,314,421
Butajira,Onion,14961,299923
Butajira,Rice,92596,340383
Butajira,Tomato,2152,25785
Butajira,Onion,2134,62027
Butajira,Rice,32298,118017
Butajira,Tomato,565,13067
Butajira,Wheat,274,202
Butajira,Wheat,274,202
Butajira,Onion,22754,436353
Butajira,Rice,91569,361514
Butajira,Tomato,2811,38592
Butajira,Onion,2012,47964
Butajira,Rice,23329,82748
Butajira,Tomato,618,15300
Butajira,Wheat,46,61
Butajira,Rice,114898,444262
Butajira,Rice,62000,124300
Butajira,Rice,74200,222100
Butajira,Rice,72100,206700
Butajira,Rice,73800,248900
Butajira,Rice,70189,190583
Butajira,Rice,54885,129541
Butajira,Onion,303,4590
Butajira,Onion,173,2414
Butajira,Rice,50601,156559
Butajira,Onion,56,984
Butajira,Rice,96893,316840
Butajira,Onion,62,860
Butajira,Rice,40841,134204
Butajira,Onion,69,1091
Butajira,Rice,106540,385888
Butajira,Wheat,15,10
Butajira,Onion,123,1470
Butajira,Rice,19256,46927
Butajira,Onion,88,1108
Butajira,Rice,46223,104325
Butajira,Wheat,73,67
Butajira,Orange,10581,187420
Butajira,Tomato,4048,19694
Butajira,Onion,37,540
Butajira,Rice,14621,41992
Butajira,Onion,58,638
Butajira,Rice,31497,79278
Butajira,Orange,13608,204728
Butajira,Tomato,4282,38638
Butajira,Onion,85,1442
Butajira,Rice,27435,95446
Butajira,Onion,35,613
Butajira,Rice,66134,220491
Butajira,Onion,23,431
Butajira,Rice,54390,144351
Butajira,Onion,26,515
Butajira,Rice,95020,340932
Butajira,Onion,27,453
Butajira,Rice,41191,124809
Butajira,Onion,25,298
Butajira,Rice,79875,297215
Butajira,Rice,47000,173000
Butajira,Rice,80000,287000
Butajira,Onion,115,1932
Butajira,Rice,47434,167774
Butajira,Onion,23,221
Butajira,Rice,83957,314503
Butajira,Onion,177,2866
Butajira,Rice,32959,117730
Butajira,Onion,79,2006
Butajira,Rice,96240,371390
Butajira,Onion,303,6017
Butajira,Rice,48878,143300
Butajira,Onion,60,783
Butajira,Rice,107903,376150
Butajira,Onion,603,8690
Butajira,Rice,39122,134932
Butajira,Onion,297,7603
Butajira,Rice,79396,292098
Butajira,Onion,569,10863
Butajira,Rice,17820,64027
Butajira,Tomato,1117,13941
Butajira,Onion,52,1144
Butajira,Rice,33942,125959
Butajira,Tomato,933,10975
Butajira,Onion,462,8700
Butajira,Rice,58034,213391
Butajira,Tomato,1098,13639
Butajira,Onion,67,1241
Butajira,Rice,80544,318874
Butajira,Tomato,1046,13560
Butajira,Onion,303,5563
Butajira,Rice,31764,121783
Butajira,Tomato,770,11070
Butajira,Onion,48,848
Butajira,Rice,73533,284132
Butajira,Tomato,1174,15907
Butajira,Rice,105297,405915
Butajira,Rice,48700,127600
Butajira,Rice,182100,544600
Butajira,Rice,44700,133400
Butajira,Rice,183300,542300
Butajira,Rice,45768,136695
Butajira,Rice,152441,407231
Butajira,Onion,35,459
Butajira,Onion,51,712
Butajira,Rice,55041,171563
Butajira,Rice,132867,367510
Butajira,Onion,47,652
Butajira,Rice,34297,108413
Butajira,Onion,2,32
Butajira,Rice,176106,597352
Butajira,Onion,78,932
Butajira,Rice,45511,149276
Butajira,Onion,1,13
Butajira,Rice,173384,522579
Butajira,Orange,1680,29844
Butajira,Tomato,154,1108
Butajira,Onion,74,1079
Butajira,Rice,17885,49756
Butajira,Onion,3,33
Butajira,Rice,137031,364368
Butajira,Orange,1867,28309
Butajira,Tomato,87,835
Butajira,Onion,120,2036
Butajira,Rice,19326,56432
Butajira,Onion,3,53
Butajira,Rice,167421,576933
Butajira,Onion,86,1612
Butajira,Rice,18036,55190
Butajira,Onion,9,178
Butajira,Rice,189671,713732
Butajira,Onion,46,771
Butajira,Rice,60057,197167
Butajira,Onion,3,36
Butajira,Rice,181863,659617
Butajira,Rice,46000,162000
Butajira,Rice,188000,695000
Butajira,Onion,98,1647
Butajira,Rice,65233,233795
Butajira,Rice,191854,763003
Butajira,Onion,112,1814
Butajira,Rice,67894,220248
Butajira,Rice,198993,783833
Butajira,Onion,229,4548
Butajira,Rice,69873,228485
Butajira,Rice,200990,777027
Butajira,Onion,143,2061
Butajira,Rice,53137,195269
Butajira,Onion,5,128
Butajira,Rice,201435,836157
Butajira,Onion,71,1356
Butajira,Rice,53866,214710
Butajira,Tomato,28,611
Butajira,Rice,197403,811721
Butajira,Tomato,22,214
Butajira,Onion,58,1092
Butajira,Rice,32241,115455
Butajira,Tomato,9,161
Butajira,Rice,192652,795653
Butajira,Tomato,13,147
Butajira,Onion,79,1451
Butajira,Rice,62232,232561
Butajira,Tomato,26,374
Butajira,Rice,178491,736454
Butajira,Tomato,41,556
Butajira,Rice,240723,969015
Butajira,Rice,185700,278500
Butajira,Rice,600,2100
Butajira,Rice,194400,370700
Butajira,Rice,2000,7500
Butajira,Rice,189027,323525
Butajira,Rice,1703,5867
Butajira,Wheat,5,3
Butajira,Onion,1404,27488
Butajira,Onion,63,879
Butajira,Rice,207461,399155
Butajira,Onion,1055,18097
Butajira,Rice,1100,2012
Butajira,Onion,47,652
Butajira,Rice,178771,393654
Butajira,Onion,1294,22930
Butajira,Rice,1584,3594
Butajira,Onion,41,490
Butajira,Rice,153148,267550
Butajira,Onion,1221,11087
Butajira,Rice,632,1602
Butajira,Tomato,345,2367
Butajira,Onion,42,613
Butajira,Rice,188219,421799
Butajira,Onion,1087,13307
Butajira,Rice,2204,4496
Butajira,Tomato,344,3331
Butajira,Onion,43,730
Butajira,Rice,190795,448561
Butajira,Onion,1248,23424
Butajira,Rice,2198,5743
Butajira,Onion,42,787
Butajira,Rice,153521,271425
Butajira,Onion,1226,25639
Butajira,Rice,4237,10105
Butajira,Onion,43,721
Butajira,Rice,193994,491775
Butajira,Onion,1444,16482
Butajira,Rice,3425,7223
Butajira,Rice,201000,613000
Butajira,Onion,2000,22000
Butajira,Rice,2000,6000
Butajira,Onion,37,622
Butajira,Rice,203172,408376
Butajira,Onion,1182,10506
Butajira,Rice,2667,6190
Butajira,Onion,30,486
Butajira,Rice,177058,371822
Butajira,Onion,1410,35752
Butajira,Rice,2708,6407
Butajira,Onion,27,536
Butajira,Rice,205853,167482
Butajira,Onion,1102,16565
Butajira,Rice,7098,16822
Butajira,Onion,80,1153
Butajira,Rice,208239,399240
Butajira,Onion,1094,28007
Butajira,Rice,2178,4593
Butajira,Onion,18,344
Butajira,Rice,205859,520823
Butajira,Tomato,176,3842
Butajira,Onion,935,20720
Butajira,Rice,2884,7870
Butajira,Tomato,310,3019
Butajira,Onion,16,301
Butajira,Rice,199717,347108
Butajira,Tomato,203,3629
Butajira,Onion,980,18145
Butajira,Rice,3425,8158
Butajira,Tomato,426,4816
Butajira,Onion,4,73
Butajira,Rice,205485,434806
Butajira,Tomato,258,3709
Butajira,Onion,641,11325
Butajira,Rice,4730,12866
Butajira,Tomato,474,6422
Butajira,Rice,210215,447672
Butajira,Rice,95600,79700
Butajira,Rice,2700,8700
Butajira,Rice,114900,141300
Butajira,Rice,3800,14100
Butajira,Rice,103372,134010
Butajira,Rice,3053,10836
Butajira,Onion,440,7224
Butajira,Onion,93,1298
Butajira,Rice,115239,183345
Butajira,Onion,326,5731
Butajira,Rice,2969,6683
Butajira,Onion,32,444
Butajira,Rice,86579,145020
Butajira,Onion,308,4872
Butajira,Rice,3744,7589
Butajira,Onion,52,622
Butajira,Rice,61964,61344
Butajira,Onion,137,1725
Butajira,Rice,2028,3121
Butajira,Orange,61,1085
Butajira,Tomato,1294,11808
Butajira,Onion,57,831
Butajira,Rice,84676,136836
Butajira,Onion,164,1805
Butajira,Rice,3961,7811
Butajira,Orange,61,929
Butajira,Tomato,1552,14964
Butajira,Onion,63,1069
Butajira,Rice,95187,160771
Butajira,Onion,147,2575
Butajira,Rice,2621,3701
Butajira,Onion,36,675
Butajira,Rice,84808,125007
Butajira,Onion,160,3167
Butajira,Rice,3821,7073
Butajira,Onion,51,855
Butajira,Rice,93133,178070
Butajira,Onion,158,1884
Butajira,Rice,2614,5301
Butajira,Rice,96000,195000
Butajira,Rice,3000,6000
Butajira,Onion,78,1311
Butajira,Rice,99378,167253
Butajira,Onion,149,1434
Butajira,Rice,2679,5090
Butajira,Onion,36,583
Butajira,Rice,65447,69112
Butajira,Onion,110,2793
Butajira,Rice,2974,4509
Butajira,Onion,60,1192
Butajira,Rice,110289,192378
Butajira,Onion,157,2050
Butajira,Rice,7262,9383
Butajira,Onion,56,807
Butajira,Rice,109505,166766
Butajira,Onion,116,2970
Butajira,Rice,2617,2973
Butajira,Onion,55,1050
Butajira,Rice,98718,141562
Butajira,Tomato,555,12116
Butajira,Onion,123,2707
Butajira,Rice,5046,10274
Butajira,Tomato,793,5833
Butajira,Onion,63,1186
Butajira,Rice,98637,171530
Butajira,Tomato,592,10584
Butajira,Onion,161,2981
Butajira,Rice,6759,13126
Butajira,Tomato,937,8857
Butajira,Onion,61,1120
Butajira,Rice,98190,159755
Butajira,Tomato,507,7289
Butajira,Onion,138,2438
Butajira,Rice,7238,18052
Butajira,Tomato,975,13210
Butajira,Rice,105428,177807
Butajira,Rice,130500,185600
Butajira,Rice,1000,3200
Butajira,Rice,133000,295600
Butajira,Rice,3600,13300
Butajira,Rice,132185,250846
Butajira,Rice,1985,6943
Butajira,Onion,555,9081
Butajira,Onion,107,1493
Butajira,Rice,129907,214347
Butajira,Onion,421,7401
Butajira,Rice,2163,5996
Butajira,Onion,112,1554
Butajira,Rice,106296,199624
Butajira,Onion,408,6453
Butajira,Rice,3864,10085
Butajira,Onion,130,1554
Butajira,Rice,93995,115426
Butajira,Onion,354,4457
Butajira,Rice,594,1558
Butajira,Orange,49,879
Butajira,Tomato,605,4127
Butajira,Onion,105,1532
Butajira,Rice,108694,228366
Butajira,Onion,290,3191
Butajira,Rice,4382,10679
Butajira,Orange,41,619
Butajira,Tomato,553,5329
Butajira,Onion,114,1934
Butajira,Rice,125205,291352
Butajira,Onion,305,5344
Butajira,Rice,2370,3979
Butajira,Onion,91,1706
Butajira,Rice,94336,131127
Butajira,Onion,416,8233
Butajira,Rice,3750,9529
Butajira,Onion,457,7663
Butajira,Rice,117452,281532
Butajira,Onion,398,4747
Butajira,Rice,1000,1803
Butajira,Rice,124000,362000
Butajira,Rice,3000,7000
Butajira,Onion,215,3613
Butajira,Rice,128964,307966
Butajira,Onion,321,3090
Butajira,Rice,1695,4043
Butajira,Onion,165,2672
Butajira,Rice,104550,229801
